matrix_id,matrix,k,method,variant,repeat,sweeps,threads,task_dir,factor_recorded,solver_recorded,factor_status,factor_finite,failure_origin_sweep,failure_origin_status,objective,masked_residual_norm,relative_masked_residual,t_factor,t_objective,n,nnz,L_nnz,U_nnz,S_nnz,solver_status,iterations,converged,true_rel_residual,nan_solution,nan_residual,breakdown,stagnated,outcome
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,1,2,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t2/AMD__G3_circuit_k0_t2,1,1,ok,1,,,4.0637233262026005,2.8508677016664947,0.0019595459676100737,0.03414356895,0.02510518301,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.940164127994306e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,1,4,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t4/AMD__G3_circuit_k0_t4,1,1,ok,1,,,31.71758044642693,7.964619318765577,0.005474486823967613,0.01536752703,0.01404712,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.970134929970503e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,1,8,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t8/AMD__G3_circuit_k0_t8,1,1,ok,1,,,82.01991143410439,12.807803202275116,0.008803452753808774,0.009621647885,0.006942562992,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.913522873546577e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,1,16,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t16/AMD__G3_circuit_k0_t16,1,1,ok,1,,,167.02801464223975,18.277199711238033,0.012562846382687317,0.005676904926,0.003926578909,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,317.0,1,9.941488644948486e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,1,32,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t32/AMD__G3_circuit_k0_t32,1,1,ok,1,,,302.35408201566725,24.59081462724109,0.016902514141549002,0.003959784983,0.004312144127,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,319.0,1,9.866975250087479e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,1,64,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t64/AMD__G3_circuit_k0_t64,1,1,ok,1,,,471.54170949525286,30.70966328357421,0.02110830917158014,0.00413548504,0.03312320891,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,325.0,1,9.518198693635047e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,1,128,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t128/AMD__G3_circuit_k0_t128,1,1,ok,1,,,573.0253255177932,33.85336986232813,0.023269138152226653,0.01622603182,0.06666237488,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,321.0,1,9.918680922107411e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,2,2,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t2/AMD__G3_circuit_k0_t2,1,1,ok,1,,,1.7718449525634244e-26,1.8824690980536307e-13,1.2939164900866004e-16,0.04978490574,0.02601197106,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.112132057478294e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,2,4,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t4/AMD__G3_circuit_k0_t4,1,1,ok,1,,,0.004220598965465509,0.09187599213576425,6.315102935317045e-05,0.02456049202,0.0134674781,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.153212913000092e-09,0,0,0,0,converged
AMD/G3_circuit,G3_circuit,0,ats_ic,async,3,2,8,results/unimodular_2026-07-31/spd_gmres/thread_phases/results/t8/AMD__G3_circuit_k0_t8,1,1,ok,1,,,0.047716340702291735,0.30892180467649655,0.00021233762489478189,0.01602755301,0.00704039121,1585478.0,7660826.0,4623152.0,4623152.0,7660826.0,converged,318.0,1,9.0854558903942e-09,0,0,0,0,converged
